id,name,type,ra_hours,dec_deg,mag,size_arcmin
NGC4178,NGC4178,Galaxy,12.21290,10.8660,11.4,4.7
NGC4179,NGC4179,Galaxy,12.21447,1.2997,10.9,4.5
NGC4180,NGC4180,Galaxy,12.21751,7.0389,13.2,1.4
NGC4181,NGC4181,Galaxy,12.21361,52.9033,14.8,1.1
NGC4183,NGC4183,Galaxy,12.22136,43.6986,12.3,4.3
NGC4184,NGC4184,Open Cluster,12.22572,-62.7214,,6.0
NGC4185,NGC4185,Galaxy,12.22283,28.5110,13.4,1.9
NGC4186,NGC4186,Galaxy,12.23515,14.7258,14.5,1.0
NGC4187,NGC4187,Galaxy,12.22480,50.7415,14.3,1.6
NGC4188,NGC4188,Galaxy,12.23538,-12.5860,14.3,0.7
NGC4189,NGC4189,Galaxy,12.22980,13.4248,11.8,2.2
NGC4190,NGC4190,Galaxy,12.22910,36.6340,13.1,1.5
NGC4191,NGC4191,Galaxy,12.23067,7.2009,13.6,1.5
NGC4193,NGC4193,Galaxy,12.23155,13.1729,12.3,2.2
NGC4194,Medusa Galaxy Merger,Galaxy,12.23596,54.5268,12.8,1.6
NGC4195,NGC4195,Galaxy,12.23836,59.6154,15.3,1.5
NGC4196,NGC4196,Galaxy,12.24160,28.4234,13.6,1.1
NGC4197,NGC4197,Galaxy,12.24404,5.8057,13.4,2.8
NGC4198,NGC4198,Galaxy,12.23946,56.0114,14.4,0.8
NGC4199,NGC4199,Galaxy Pair,12.24728,59.9075,,1.1
NGC4199A,NGC4199A,Galaxy,12.24684,59.9062,15.3,1.0
NGC4199B,NGC4199B,Galaxy,12.24769,59.9084,16.4,0.8
NGC4200,NGC4200,Galaxy,12.24562,12.1807,13.0,1.4
NGC4201,NGC4201,Galaxy,12.24496,-11.5829,14.5,1.0
NGC4202,NGC4202,Galaxy,12.30238,-1.0641,14.5,1.0
NGC4203,NGC4203,Galaxy,12.25141,33.1973,11.6,3.4
NGC4204,NGC4204,Galaxy,12.25401,20.6586,12.9,4.1
NGC4205,NGC4205,Galaxy,12.24876,63.7828,13.7,1.7
NGC4206,NGC4206,Galaxy,12.25467,13.0240,12.2,4.7
NGC4207,NGC4207,Galaxy,12.25847,9.5849,13.4,1.5
NGC4208,NGC4208,Galaxy,12.26093,13.9015,11.1,2.8
NGC4209,NGC4209,Star,12.25717,28.4684,13.6,
NGC4210,NGC4210,Galaxy,12.25440,65.9853,13.4,1.9
NGC4211,NGC4211,Galaxy,12.25996,28.1776,14.3,1.0
NGC4211A,NGC4211A,Galaxy,12.26037,28.1696,15.8,0.4
NGC4213,NGC4213,Galaxy,12.26043,23.9819,12.6,1.6
NGC4214,NGC4214,Galaxy,12.26088,36.3269,9.8,6.8
NGC4215,NGC4215,Galaxy,12.26515,6.4011,12.0,1.7
NGC4216,NGC4216,Galaxy,12.26512,13.1494,9.9,7.8
NGC4217,NGC4217,Galaxy,12.26414,47.0918,11.2,5.4
NGC4218,NGC4218,Galaxy,12.26289,48.1308,13.4,1.0
